Simulation,QD Score
100,23.68
200,32.595
300,75.21960477113724
400,102.00528658390046
500,118.59440526485443
600,145.15280881404877
700,177.24804324388504
800,207.0749370622635
900,230.30022364616394
1000,240.24022364616394
1100,262.38469184875487
1200,284.4396918487549
1300,309.9721820163727
1400,317.86
1500,331.245
1600,337.98
1700,349.115
1800,354.71
1900,363.63
2000,364.78
2100,370.345
2200,375.89
2300,394.7147026324272
2400,406.915
2500,414.72970263242723
2600,421.3297026324272
2700,424.6847026324272
2800,427.99304306030274
2900,431.30804306030274
3000,434.6480430603027
